Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
26	Flavors	2004-07-16	Net Effect	Not Rated	$93,370	15,035	Romantic-Comedy
27	Seeing Other People	2004-05-07	Lantern Lane Ente…	R	$87,923	14,158	Romantic-Comedy
28	Intolerable Cruelty	2003-10-10	Universal	PG-13	$31,380	5,053	Romantic-Comedy
29	The Bread, My Sweet	2002-11-22	Panorama Entertai…	PG-13	$27,957	4,501	Romantic-Comedy
30	Cowards Bend the Knee	2004-08-13	Zeitgeist	Not Rated	$22,940	3,694	Romantic-Comedy
31	Easy	2004-11-26	Magic Lamp	R	$21,589	3,476	Romantic-Comedy
32	Perfect Opposites	2004-02-06		PG-13	$11,329	1,824	Romantic-Comedy
33	Swing	2004-06-18	RMH Media/Dominio…	PG-13	$2,509	404	Romantic-Comedy
34	Lan se da men	2003-11-21	Strand	Not Rated	$2,104	338	Romantic-Comedy
1	Hitch	2005-02-11	Sony Pictures	PG-13	$177,784,257	27,735,453	Romantic-Comedy
2	Are We There Yet?	2005-01-21	Sony Pictures	PG	$82,674,398	12,897,721	Romantic-Comedy
3	Just Like Heaven	2005-09-16	Dreamworks SKG	PG-13	$48,318,130	7,537,929	Romantic-Comedy
4	Must Love Dogs	2005-07-29	Warner Bros.	PG-13	$43,894,863	6,847,872	Romantic-Comedy
5	Fever Pitch	2005-04-08	20th Century Fox	PG-13	$42,071,069	6,563,349	Romantic-Comedy
6	The Wedding Date	2005-02-04	Universal	PG-13	$31,726,995	4,949,609	Romantic-Comedy
7	Just Friends	2005-11-23	New Line	PG-13	$31,493,937	4,913,250	Romantic-Comedy
8	Prime	2005-10-28	Universal	PG-13	$22,827,153	3,561,178	Romantic-Comedy
9	A Lot Like Love	2005-04-22	Walt Disney	PG-13	$21,835,784	3,406,518	Romantic-Comedy
10	The Perfect Man	2005-06-17	Universal	PG	$16,535,005	2,579,563	Romantic-Comedy
11	Broken Flowers	2005-08-05	Focus Features	R	$13,744,960	2,144,299	Romantic-Comedy
12	Undiscovered	2005-08-26	Lionsgate	PG-13	$1,069,318	166,820	Romantic-Comedy
13	Shall We Dance?	2004-10-15	Miramax	PG-13	$738,014	115,134	Romantic-Comedy
14	Little Manhattan	2005-09-30	20th Century Fox	PG	$385,373	60,120	Romantic-Comedy
15	Deewane Huye Paagal	2005-11-24	UTV Communications	Not Rated	$355,962	55,532	Romantic-Comedy
16	Bridget Jones: The Edge Of …	2004-11-12	Universal	R	$325,075	50,713	Romantic-Comedy
17	Side Effects	2005-09-09	Sky Island	R	$44,701	6,973	Romantic-Comedy
18	Girl Play	2005-04-01	Wolfe Releasing	Not Rated	$11,523	1,797	Romantic-Comedy
1	The Break-Up	2006-06-02	Universal	PG-13	$118,703,275	18,122,637	Romantic-Comedy
2	Failure to Launch	2006-03-10	Paramount Pictures	PG-13	$88,715,192	13,544,304	Romantic-Comedy
3	The Holiday	2006-12-08	Sony Pictures	PG-13	$50,084,236	7,646,448	Romantic-Comedy
4	John Tucker Must Die	2006-07-28	20th Century Fox	PG-13	$41,011,711	6,261,329	Romantic-Comedy
5	She’s the Man	2006-03-17	Paramount Pictures	PG-13	$33,889,159	5,173,917	Romantic-Comedy
