Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
27	Man cheng jin dai huang jin…	2006-12-21	Sony Pictures Cla…	R	$5,046,481	733,500	Action
28	Ladron que roba a ladron	2007-08-31	Lionsgate	PG-13	$4,011,254	583,031	Action
29	Nitro	2007-06-30	Alliance Atlantis	R	$3,768,878	547,802	Action
30	Gwoemul	2007-03-09	Magnolia Pictures	R	$2,201,923	320,046	Action
31	Eklavya - The Royal Guard	2007-02-16	Eros Entertainment	Not Rated	$1,290,212	187,530	Action
32	The Hunting Party	2007-09-07	Weinstein Co.	R	$876,671	127,423	Action
33	DOA: Dead or Alive	2007-06-15	Weinstein/Dimension	PG-13	$480,314	69,813	Action
34	Dnevnoy dozor	2007-06-01	Fox Searchlight	R	$459,095	66,728	Action
35	Fah talai jone	2007-01-12	Magnolia Pictures	Not Rated	$75,234	10,935	Action
36	The Marine	2006-10-13	20th Century Fox	PG-13	$61,831	8,987	Action
37	Fong juk	2007-08-31	Magnolia Pictures	Not Rated	$51,957	7,551	Action
38	Dhoom 2	2006-11-23	Yash Raj Films	Not Rated	$35,405	5,146	Action
39	Middonaito Îguru	2007-11-23	Strand	Not Rated	$7,116	1,034	Action
40	Tekkon Kinkreet	2007-07-13		R	$6,000	872	Action
41	Khon fai bin	2007-07-06	Magnolia Pictures	Not Rated	$5,229	760	Action
1	The Dark Knight	2008-07-18	Warner Bros.	PG-13	$531,001,578	73,955,652	Action
2	Hancock	2008-07-01	Sony Pictures	PG-13	$227,946,274	31,747,391	Action
3	Quantum of Solace	2008-11-14	Sony Pictures	PG-13	$166,820,413	23,234,040	Action
4	Wanted	2008-06-27	Universal	R	$134,508,551	18,733,781	Action
5	Cloverfield	2008-01-18	Paramount Pictures	PG-13	$80,048,433	11,148,807	Action
6	Hellboy II: The Golden Army	2008-07-11	Universal	PG-13	$75,986,503	10,583,078	Action
7	The Forbidden Kingdom	2008-04-18	Lionsgate	PG-13	$52,075,270	7,252,823	Action
8	Speed Racer	2008-05-09	Warner Bros.	PG	$43,945,766	6,120,580	Action
9	Rambo	2008-01-25	Lionsgate	R	$42,754,105	5,954,611	Action
10	Max Payne	2008-10-17	20th Century Fox	PG-13	$40,677,229	5,665,352	Action
11	Death Race	2008-08-22	Universal	R	$36,316,032	5,057,943	Action
12	Transporter 3	2008-11-26	Lionsgate	PG-13	$31,715,062	4,417,140	Action
13	No Country for Old Men	2007-11-09	Miramax	R	$29,513,761	4,110,551	Action
14	Never Back Down	2008-03-14	Summit Entertainment	PG-13	$24,850,922	3,461,131	Action
15	Babylon A.D.	2008-08-29	20th Century Fox	PG-13	$22,532,572	3,138,241	Action
16	The X-Files: I Want to Believe	2008-07-25	20th Century Fox	PG-13	$20,982,478	2,922,351	Action
17	The Spirit	2008-12-25	Lionsgate	PG-13	$17,743,738	2,471,273	Action
18	Bangkok Dangerous	2008-09-05	Lionsgate	R	$15,298,133	2,130,659	Action
19	Aliens vs. Predator - Requiem	2007-12-25	20th Century Fox	R	$11,311,743	1,575,452	Action
20	Doomsday	2008-03-14	Universal	R	$11,008,770	1,533,255	Action
21	Punisher: War Zone	2008-12-05	Lionsgate	R	$8,050,977	1,121,306	Action
22	RocknRolla	2008-10-08	Warner Bros.	R	$5,700,626	793,959	Action
23	In the Name of the King: A …	2008-01-11	Freestyle Releasing	PG-13	$4,775,656	665,133	Action
24	Singh is Kinng	2008-08-08	Studio 18	Not Rated	$2,523,511	351,463	Action
25	Redbelt	2008-05-02	Sony Pictures Cla…	R	$2,344,847	326,580	Action
26	Race	2008-03-21	UTV Communications	PG-13	$1,367,024	190,393	Action
27	Tashan	2008-04-25	Yash Raj Films	Not Rated	$457,380	63,701	Action
28	Hitman	2007-11-21	20th Century Fox	R	$438,996	61,142	Action
29	OSS 117: Le Caire, nid d'es…	2008-05-09	Music Box Films	Not Rated	$303,328	42,246	Action
30	Hell Ride	2008-08-08	Weinstein Co.	R	$213,608	29,750	Action
31	Ashes of Time	1996-05-17		R	$173,526	24,167	Action
32	Beaufort	2008-01-18	Kino International	Not Rated	$102,342	14,253	Action
33	Sukiyaki Western Django	2008-08-29	First Look	R	$50,659	7,055	Action
34	Tropa de Elite	2008-09-19	IFC Films	R	$8,744	1,217	Action
35	Vexille	2008-02-14	The Bigger Picture	Not Rated	$4,070	566	Action
36	Flash Point	2008-03-14	Third Rail	R	$3,271	455	Action
1	Transformers: Revenge of th…	2009-06-24	Paramount Pictures	PG-13	$402,111,870	53,614,916	Action
2	Avatar	2009-12-18	20th Century Fox	PG-13	$352,114,898	46,948,653	Action
3	X-Men Origins: Wolverine	2009-05-01	20th Century Fox	PG-13	$179,883,157	23,984,421	Action
4	2012	2009-11-13	Sony Pictures	PG-13	$163,442,129	21,792,284	Action
5	Fast & Furious	2009-04-03	Universal	PG-13	$155,064,265	20,675,235	Action
6	G.I. Joe: The Rise of Cobra	2009-08-07	Paramount Pictures	PG-13	$150,201,498	20,026,866	Action
7	Terminator Salvation	2009-05-21	Warner Bros.	PG-13	$125,322,469	16,709,663	Action
8	Inglourious Basterds	2009-08-21	Weinstein Co.	R	$120,774,594	16,103,279	Action
9	Watchmen	2009-03-06	Warner Bros.	R	$107,509,799	14,334,640	Action
10	The Taking of Pelham 123	2009-06-12	Sony Pictures	R	$65,452,312	8,726,974	Action
