Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
14	Colombiana	2011-08-26	Sony Pictures	PG-13	$36,665,854	4,623,689	Thriller-or-Suspense
15	The Debt	2011-08-31	Focus Features	R	$31,177,548	3,931,594	Thriller-or-Suspense
16	Abduction	2011-09-23	Lionsgate	PG-13	$28,087,155	3,541,885	Thriller-or-Suspense
17	Apollo 18	2011-09-02	Weinstein Co.	PG-13	$17,686,929	2,230,381	Thriller-or-Suspense
18	The Tourist	2010-12-10	Sony Pictures	PG-13	$12,997,966	1,639,087	Thriller-or-Suspense
19	Straw Dogs	2011-09-16	Sony Pictures	R	$10,324,441	1,301,947	Thriller-or-Suspense
20	Anonymous	2011-10-28	Sony Pictures	PG-13	$4,463,292	562,836	Thriller-or-Suspense
21	Tinker Tailor Soldier Spy	2011-12-09	Focus Features	R	$3,955,762	498,835	Thriller-or-Suspense
22	La piel que habito	2011-10-14	Sony Pictures Cla…	R	$3,042,108	383,620	Thriller-or-Suspense
23	Martha Marcy May Marlene	2011-10-21	Fox Searchlight	R	$2,913,443	367,395	Thriller-or-Suspense
24	Melancholia	2011-11-11	Magnolia Pictures	R	$2,517,506	317,466	Thriller-or-Suspense
25	La doppia ora	2011-04-15	Samuel Goldwyn Films	Not Rated	$1,514,942	191,039	Thriller-or-Suspense
26	Casino Jack	2010-12-17	Samuel Goldwyn Films	R	$808,865	102,000	Thriller-or-Suspense
27	A bout portant	2011-07-29	Magnolia Pictures	R	$708,215	89,308	Thriller-or-Suspense
28	Crime d'amour	2011-09-02	IFC Films	Not Rated	$539,792	68,070	Thriller-or-Suspense
29	Di Renjie	2011-09-02	Indomina Releasing	PG-13	$474,754	59,868	Thriller-or-Suspense
30	Munger Road	2011-09-30	Freestyle Releasing	PG-13	$266,688	33,630	Thriller-or-Suspense
31	Hanyo	2011-01-21	IFC Films	Not Rated	$157,961	19,919	Thriller-or-Suspense
32	Luftslottet som sprängdes	2010-04-30	Alliance Atlantis	R	$154,599	19,495	Thriller-or-Suspense
33	Cold Weather	2011-02-04	IFC Films	Not Rated	$138,755	17,497	Thriller-or-Suspense
34	Akmareul Boatda (악마를 보았다)…	2011-03-04	Magnet Pictures	Not Rated	$129,210	16,293	Thriller-or-Suspense
35	Misterios de Lisboa	2011-08-05	Music Box Films	Not Rated	$110,507	13,935	Thriller-or-Suspense
36	The Double	2011-10-28	Image Entertainment	PG-13	$99,612	12,561	Thriller-or-Suspense
37	Viva Riva!	2011-06-10	Music Box Films	R	$61,759	7,788	Thriller-or-Suspense
38	The Perfect Host	2011-07-01	Magnolia Pictures	R	$48,764	6,149	Thriller-or-Suspense
39	Texas Killing Fields	2011-10-14	Anchor Bay Entert…	R	$45,470	5,733	Thriller-or-Suspense
40	Road to Nowhere	2011-06-10	Monterey Media	R	$40,294	5,081	Thriller-or-Suspense
41	Went the Day Well?	1944-06-28		Not Rated	$39,523	4,983	Thriller-or-Suspense
42	Small Town Murder Songs	2011-05-27	Monterey Media	R	$31,133	3,925	Thriller-or-Suspense
43	Vanishing on 7th Street	2011-02-18	Magnet Pictures	R	$22,729	2,866	Thriller-or-Suspense
44	Brotherhood	2011-02-18	Phase 4 Films	R	$19,722	2,487	Thriller-or-Suspense
45	The Next Three Days	2010-11-19	Lionsgate	PG-13	$19,303	2,434	Thriller-or-Suspense
46	InSight	2011-09-02	Check Entertainme…	R	$17,107	2,157	Thriller-or-Suspense
47	Trespass	2011-10-14	Alchemy	R	$16,816	2,120	Thriller-or-Suspense
48	The Tenant	2011-04-15	Indican Pictures	Not Rated	$15,003	1,891	Thriller-or-Suspense
49	The Town	2010-09-17	Warner Bros.	R	$13,027	1,643	Thriller-or-Suspense
50	I'm Not Jesus Mommy	2011-05-06	FilmDemic	R	$12,620	1,591	Thriller-or-Suspense
51	Shanghai Red	2010-01-01	Indican Pictures	Not Rated	$8,904	1,122	Thriller-or-Suspense
52	Wrecked	2011-04-01	IFC Films	R	$8,020	1,011	Thriller-or-Suspense
53	Inception	2010-07-16	Warner Bros.	PG-13	$7,344	926	Thriller-or-Suspense
54	Good Neighbors	2011-07-29	Magnolia Pictures	R	$7,072	891	Thriller-or-Suspense
55	Rabia	2011-01-28	Strand	Not Rated	$5,594	705	Thriller-or-Suspense
56	Daylight	2011-07-15	Cinema Purgatorio	Not Rated	$4,171	525	Thriller-or-Suspense
57	Zenith	2010-10-01	Cinema Purgatorio	Not Rated	$3,801	479	Thriller-or-Suspense
58	Red Hill	2010-11-05	Sony Pictures	R	$2,863	361	Thriller-or-Suspense
59	Restitution	2011-10-28	Monterey Media	R	$2,664	335	Thriller-or-Suspense
60	Flickan som lekte med elden	2009-12-25		R	$2,547	321	Thriller-or-Suspense
61	Män som hatar kvinnor	2009-05-29	Alliance Atlantis	R	$2,075	261	Thriller-or-Suspense
1	The Hunger Games	2012-03-23	Lionsgate	PG-13	$408,010,692	51,257,624	Thriller-or-Suspense
2	Taken 2	2012-10-05	20th Century Fox	PG-13	$139,284,764	17,498,085	Thriller-or-Suspense
3	Prometheus	2012-06-08	20th Century Fox	R	$126,477,084	15,889,080	Thriller-or-Suspense
4	Safe House	2012-02-10	Universal	R	$126,181,630	15,851,963	Thriller-or-Suspense
5	The Bourne Legacy	2012-08-10	Universal	PG-13	$113,203,870	14,221,591	Thriller-or-Suspense
6	Argo	2012-10-12	Warner Bros.	R	$110,106,919	13,832,527	Thriller-or-Suspense
7	Jack Reacher	2012-12-21	Paramount Pictures	PG-13	$64,697,214	8,127,790	Thriller-or-Suspense
8	Chronicle	2012-02-03	20th Century Fox	PG-13	$64,575,175	8,112,459	Thriller-or-Suspense
9	The Grey	2012-01-27	Open Road	R	$51,580,136	6,479,916	Thriller-or-Suspense
10	Savages	2012-07-06	Universal	R	$47,323,100	5,945,113	Thriller-or-Suspense
11	The Girl with the Dragon Ta…	2011-12-20	Sony Pictures	R	$46,930,912	5,895,843	Thriller-or-Suspense
12	The Cabin in the Woods	2012-04-13	Lionsgate	R	$42,073,277	5,285,587	Thriller-or-Suspense
13	End of Watch	2012-09-21	Open Road	R	$40,891,820	5,137,163	Thriller-or-Suspense
14	Alex Cross	2012-10-19	Lionsgate	PG-13	$25,888,412	3,252,313	Thriller-or-Suspense
15	Premium Rush	2012-08-24	Sony Pictures	PG-13	$20,275,446	2,547,166	Thriller-or-Suspense
16	Tinker Tailor Soldier Spy	2011-12-09	Focus Features	R	$20,193,631	2,536,888	Thriller-or-Suspense
17	Haywire	2012-01-20	Relativity	R	$18,942,396	2,379,697	Thriller-or-Suspense
18	Man on a Ledge	2012-01-27	Lionsgate	PG-13	$18,620,000	2,339,195	Thriller-or-Suspense
19	The Raven	2012-04-27	Relativity	R	$16,008,272	2,011,089	Thriller-or-Suspense
20	Killing Them Softly	2012-11-30	Weinstein Co.	R	$14,904,981	1,872,485	Thriller-or-Suspense
21	Lockout	2012-04-13	Open Road	PG-13	$14,326,865	1,799,857	Thriller-or-Suspense
22	Gone	2012-02-24	Lionsgate	PG-13	$11,682,205	1,467,613	Thriller-or-Suspense
23	Arbitrage	2012-09-14	Roadside Attractions	R	$7,915,822	994,450	Thriller-or-Suspense
24	Zero Dark Thirty	2012-12-19	Sony Pictures	R	$4,406,138	553,534	Thriller-or-Suspense
25	The Cold Light of Day	2012-09-07	Lionsgate	PG-13	$3,763,583	472,811	Thriller-or-Suspense
26	Omerta	2012-07-11	Alliance Atlantis	Not Rated	$2,462,588	309,370	Thriller-or-Suspense
27	Ek Tha Tiger	2012-08-15	Yash Raj Films	Not Rated	$2,347,774	294,946	Thriller-or-Suspense
28	Hodejegerne	2012-04-27	Magnolia Pictures	R	$1,200,010	150,755	Thriller-or-Suspense
29	Cosmopolis	2012-08-17	Entertainment One	R	$743,636	93,421	Thriller-or-Suspense
30	Agent Vinod	2012-03-23	Eros Entertainment	Not Rated	$698,210	87,714	Thriller-or-Suspense
31	The Paperboy	2012-10-05	Alchemy	R	$677,200	85,075	Thriller-or-Suspense
32	Melancholia	2011-11-11	Magnolia Pictures	R	$513,342	64,490	Thriller-or-Suspense
33	In Time	2011-10-28	20th Century Fox	PG-13	$477,517	59,989	Thriller-or-Suspense
34	Sound of My Voice	2012-04-27	Fox Searchlight	R	$408,015	51,258	Thriller-or-Suspense
35	Branded	2012-09-07	Roadside Attractions	R	$353,513	44,411	Thriller-or-Suspense
36	Elena	2012-05-16	Zeitgeist	Not Rated	$232,070	29,154	Thriller-or-Suspense
37	Snabba Cash	2012-07-11	Weinstein Co.	R	$188,870	23,727	Thriller-or-Suspense
38	Polisse	2012-05-18	IFC Films	Not Rated	$176,988	22,234	Thriller-or-Suspense
39	From Beneath	2012-08-10	Nocturnal Features	Not Rated	$144,123	18,105	Thriller-or-Suspense
40	La piel que habito	2011-10-14	Sony Pictures Cla…	R	$143,085	17,975	Thriller-or-Suspense
41	The Woman in the Fifth	2012-06-15	ATO Pictures	R	$107,921	13,557	Thriller-or-Suspense
42	360	2012-08-03	Magnolia Pictures	R	$100,343	12,605	Thriller-or-Suspense
43	On the Ice	2012-02-17	PMK*BNC	R	$70,526	8,860	Thriller-or-Suspense
44	Martha Marcy May Marlene	2011-10-21	Fox Searchlight	R	$67,595	8,491	Thriller-or-Suspense
45	Deadfall	2012-12-07	Magnolia Pictures	R	$63,638	7,994	Thriller-or-Suspense
46	Red Lights	2012-07-13	Alchemy	R	$49,521	6,221	Thriller-or-Suspense
47	Wake in Fright	2012-10-05	Drafthouse Films	R	$49,458	6,213	Thriller-or-Suspense
48	Soldiers of Fortune	2012-08-03	Roadside Attractions	R	$38,898	4,886	Thriller-or-Suspense
49	Max et les ferrailleurs	2012-08-10	Rialto Pictures	Not Rated	$29,174	3,665	Thriller-or-Suspense
50	Keyhole	2012-04-06	Monterey Media	R	$22,393	2,813	Thriller-or-Suspense
51	The Day	2012-08-29	Anchor Bay Entert…	R	$20,984	2,636	Thriller-or-Suspense
52	The Divide	2012-01-13	Anchor Bay Entert…	R	$18,000	2,261	Thriller-or-Suspense
53	$upercapitalist	2012-08-10		Not Rated	$15,919	1,999	Thriller-or-Suspense
54	Trade of Innocents	2012-10-05	Monterey Media	PG-13	$15,091	1,895	Thriller-or-Suspense
55	Shanghai Red	2010-01-01	Indican Pictures	Not Rated	$10,782	1,354	Thriller-or-Suspense
56	Beneath the Darkness	2012-01-06	Image Entertainment	R	$9,600	1,206	Thriller-or-Suspense
57	Snowtown	2012-03-02	IFC Midnight	Not Rated	$8,452	1,061	Thriller-or-Suspense
58	Pusher	2012-10-26	Radius	R	$5,040	633	Thriller-or-Suspense
59	Brake	2012-03-23	IFC Films	R	$4,876	612	Thriller-or-Suspense
60	Nuit Blanche	2012-05-11	TriBeca Films	Not Rated	$3,358	421	Thriller-or-Suspense
61	ATM	2012-04-06	IFC Films	R	$3,010	378	Thriller-or-Suspense
62	The Samaritan	2012-05-18	IFC Films	R	$2,521	316	Thriller-or-Suspense
63	Le Moine	2012-12-07	Mongrel Media	R	$2,164	271	Thriller-or-Suspense
64	Le combat dans l'île	2009-06-12	The Film Desk	PG-13	$1,756	220	Thriller-or-Suspense
65	Fon tok kuen fah	2012-09-28	Kino Lorber	Not Rated	$1,373	172	Thriller-or-Suspense
66	A Dark Truth	2013-01-04	Magnolia Pictures	R	$630	79	Thriller-or-Suspense
1	Gravity	2013-10-04	Warner Bros.	PG-13	$255,621,667	31,441,779	Thriller-or-Suspense
2	Now You See Me	2013-05-31	Lionsgate	PG-13	$117,723,989	14,480,195	Thriller-or-Suspense
3	Olympus Has Fallen	2013-03-22	FilmDistrict	R	$98,927,592	12,168,215	Thriller-or-Suspense
4	Zero Dark Thirty	2012-12-19	Sony Pictures	R	$91,314,578	11,231,805	Thriller-or-Suspense
5	Oblivion	2013-04-19	Universal	PG-13	$89,107,235	10,960,299	Thriller-or-Suspense
6	White House Down	2013-06-28	Sony Pictures	PG-13	$73,103,784	8,991,855	Thriller-or-Suspense
7	Prisoners	2013-09-20	Warner Bros.	R	$61,002,302	7,503,358	Thriller-or-Suspense
8	The Call	2013-03-15	Sony Pictures	R	$51,872,378	6,380,366	Thriller-or-Suspense
9	Snitch	2013-02-22	Lionsgate	PG-13	$42,930,462	5,280,499	Thriller-or-Suspense
10	Side Effects	2013-02-08	Open Road	R	$32,172,757	3,957,288	Thriller-or-Suspense
11	The Host	2013-03-29	Open Road	PG-13	$26,623,701	3,274,747	Thriller-or-Suspense
12	Argo	2012-10-12	Warner Bros.	R	$25,918,584	3,188,017	Thriller-or-Suspense
13	Escape Plan	2013-10-18	Lionsgate	R	$25,063,555	3,082,848	Thriller-or-Suspense
14	Broken City	2013-01-18	20th Century Fox	R	$19,701,164	2,423,267	Thriller-or-Suspense
15	Runner Runner	2013-10-04	20th Century Fox	R	$19,316,646	2,375,971	Thriller-or-Suspense
16	Parker	2013-01-25	FilmDistrict	R	$17,616,641	2,166,868	Thriller-or-Suspense
17	The Counselor	2013-10-25	20th Century Fox	R	$16,960,224	2,086,128	Thriller-or-Suspense
18	Jack Reacher	2012-12-21	Paramount Pictures	PG-13	$15,373,522	1,890,962	Thriller-or-Suspense
19	Spring Breakers	2013-03-15	A24	R	$14,124,286	1,737,304	Thriller-or-Suspense
20	Dead Man Down	2013-03-08	FilmDistrict	R	$10,895,295	1,340,134	Thriller-or-Suspense
21	Getaway	2013-08-30	Warner Bros.	PG-13	$10,501,938	1,291,751	Thriller-or-Suspense
22	Paranoia	2013-08-16	Relativity	PG-13	$7,388,654	908,813	Thriller-or-Suspense
23	All is Lost	2013-10-18	Roadside Attractions	PG-13	$6,047,207	743,813	Thriller-or-Suspense
24	Closed Circuit	2013-08-28	Focus Features	R	$5,750,995	707,379	Thriller-or-Suspense
25	The Company You Keep	2013-04-05	Sony Pictures Cla…	R	$5,132,442	631,296	Thriller-or-Suspense
